[train] t= 64000 | LossPi=-551.4586 | PiEntropy=-0.8299 | Alpha= 0.8478 | MinQ= 637.6995 | QcPiCVaR= 14.7790 | QcPi= 14.3888 | QcPiVar= 4.5971| BatchCostMean= 0.1443 | BatchCostMax= 0.7852 | BatchCostNZ= 0.4414| WinRewMean= 7041.9877 | WinCostMean= 0.1510 | Beta= 5.7878
[train] t= 65000 | LossPi=-558.2427 | PiEntropy=-0.9510 | Alpha= 0.8252 | MinQ= 646.1029 | QcPiCVaR= 14.7908 | QcPi= 14.3973 | QcPiVar= 4.8451| BatchCostMean= 0.1699 | BatchCostMax= 0.7488 | BatchCostNZ= 0.4648| WinRewMean= 7683.0298 | WinCostMean= 0.1397 | Beta= 5.8871
[train] t= 66000 | LossPi=-550.6575 | PiEntropy=-1.1012 | Alpha= 0.8623 | MinQ= 640.3553 | QcPiCVaR= 14.8246 | QcPi= 14.4362 | QcPiVar= 4.7416| BatchCostMean= 0.1614 | BatchCostMax= 0.8960 | BatchCostNZ= 0.4531| WinRewMean= 8849.0664 | WinCostMean= 0.1237 | Beta= 5.9865
[train] t= 67000 | LossPi=-551.0265 | PiEntropy=-0.8472 | Alpha= 0.8173 | MinQ= 640.7377 | QcPiCVaR= 14.6270 | QcPi= 14.2529 | QcPiVar= 4.2741| BatchCostMean= 0.1790 | BatchCostMax= 0.6970 | BatchCostNZ= 0.4922| WinRewMean= 8300.0637 | WinCostMean= 0.1290 | Beta= 6.0859
[train] t= 68000 | LossPi=-555.0687 | PiEntropy=-0.9326 | Alpha= 0.8290 | MinQ= 645.3683 | QcPiCVaR= 14.4743 | QcPi= 14.0964 | QcPiVar= 4.3196| BatchCostMean= 0.1691 | BatchCostMax= 0.7119 | BatchCostNZ= 0.4570| WinRewMean= 8633.2631 | WinCostMean= 0.1265 | Beta= 6.1852
[train] t= 69000 | LossPi=-550.2036 | PiEntropy=-0.9335 | Alpha= 0.8559 | MinQ= 642.5118 | QcPiCVaR= 14.5610 | QcPi= 14.1912 | QcPiVar= 4.1215| BatchCostMean= 0.1711 | BatchCostMax= 0.7549 | BatchCostNZ= 0.4805| WinRewMean= 7150.1039 | WinCostMean= 0.1475 | Beta= 6.2845
[train] t= 70000 | LossPi=-548.7355 | PiEntropy=-1.0589 | Alpha= 0.8548 | MinQ= 643.1641 | QcPiCVaR= 14.6500 | QcPi= 14.2945 | QcPiVar= 3.5756| BatchCostMean= 0.1595 | BatchCostMax= 0.7955 | BatchCostNZ= 0.4453| WinRewMean= 7793.9369 | WinCostMean= 0.1394 | Beta= 6.3839
[train] t= 71000 | LossPi=-556.3903 | PiEntropy=-1.1176 | Alpha= 0.8276 | MinQ= 651.1782 | QcPiCVaR= 14.4776 | QcPi= 14.1060 | QcPiVar= 4.3140| BatchCostMean= 0.1453 | BatchCostMax= 0.8777 | BatchCostNZ= 0.3906| WinRewMean= 7222.4906 | WinCostMean= 0.1574 | Beta= 6.4833
[train] t= 72000 | LossPi=-553.2260 | PiEntropy=-0.7690 | Alpha= 0.8536 | MinQ= 649.3987 | QcPiCVaR= 14.5097 | QcPi= 14.1488 | QcPiVar= 3.9576| BatchCostMean= 0.1616 | BatchCostMax= 0.7215 | BatchCostNZ= 0.4727| WinRewMean= 7626.3435 | WinCostMean= 0.1436 | Beta= 6.5829
[train] t= 73000 | LossPi=-549.9513 | PiEntropy=-0.9518 | Alpha= 0.8547 | MinQ= 648.1804 | QcPiCVaR= 14.5778 | QcPi= 14.2417 | QcPiVar= 3.1464| BatchCostMean= 0.1617 | BatchCostMax= 0.7306 | BatchCostNZ= 0.4688| WinRewMean= 7640.3415 | WinCostMean= 0.1396 | Beta= 6.6825
[train] t= 74000 | LossPi=-546.8747 | PiEntropy=-0.8974 | Alpha= 0.8680 | MinQ= 644.5210 | QcPiCVaR= 14.2832 | QcPi= 13.9364 | QcPiVar= 3.7100| BatchCostMean= 0.1751 | BatchCostMax= 0.7499 | BatchCostNZ= 0.5000| WinRewMean= 7826.9203 | WinCostMean= 0.1241 | Beta= 6.7819
[train] t= 75000 | LossPi=-553.4319 | PiEntropy=-0.9239 | Alpha= 0.8691 | MinQ= 652.8495 | QcPiCVaR= 14.3304 | QcPi= 13.9851 | QcPiVar= 3.6057| BatchCostMean= 0.1747 | BatchCostMax= 0.9240 | BatchCostNZ= 0.4961| WinRewMean= 8538.5970 | WinCostMean= 0.1117 | Beta= 6.8815
