[train] t= 45000 | LossPi=-485.1461 | PiEntropy=-1.1287 | Alpha= 0.8500 | PiEntTerm= 0.9594 | MinQ= 539.9214 | PiCostTerm= 53.8158 | QcPiCVaR= 11.4401 | QcPi= 8.6468 | QcPiRaw= 8.6466 | QcPiVar= 12.2647 | QcPiM2= 87.8738| BatchCostMean= 0.1204 | BatchCostMax= 0.6481 | BatchCostNZ= 0.4023 | Beta= 4.7041
[train] t= 46000 | LossPi=-477.8973 | PiEntropy=-1.0537 | Alpha= 0.8348 | PiEntTerm= 0.8797 | MinQ= 532.9056 | PiCostTerm= 54.1287 | QcPiCVaR= 11.2691 | QcPi= 8.4852 | QcPiRaw= 8.4850 | QcPiVar= 12.1860 | QcPiM2= 84.9942| BatchCostMean= 0.1320 | BatchCostMax= 0.7241 | BatchCostNZ= 0.4531 | Beta= 4.8033
[train] t= 47000 | LossPi=-487.5461 | PiEntropy=-1.0956 | Alpha= 0.8089 | PiEntTerm= 0.8862 | MinQ= 544.5792 | PiCostTerm= 56.1470 | QcPiCVaR= 11.4525 | QcPi= 8.6144 | QcPiRaw= 8.6141 | QcPiVar= 12.6682 | QcPiM2= 87.6182| BatchCostMean= 0.1417 | BatchCostMax= 0.9492 | BatchCostNZ= 0.4727 | Beta= 4.9026
[train] t= 48000 | LossPi=-485.8866 | PiEntropy=-0.9234 | Alpha= 0.7627 | PiEntTerm= 0.7042 | MinQ= 543.2560 | PiCostTerm= 56.6651 | QcPiCVaR= 11.3286 | QcPi= 8.5325 | QcPiRaw= 8.5323 | QcPiVar= 12.2928 | QcPiM2= 85.8663| BatchCostMean= 0.1406 | BatchCostMax= 0.7171 | BatchCostNZ= 0.4922 | Beta= 5.0019
[train] t= 49000 | LossPi=-488.5591 | PiEntropy=-0.9087 | Alpha= 0.8208 | PiEntTerm= 0.7459 | MinQ= 547.7599 | PiCostTerm= 58.4549 | QcPiCVaR= 11.4587 | QcPi= 8.6473 | QcPiRaw= 8.6471 | QcPiVar= 12.4279 | QcPiM2= 87.9051| BatchCostMean= 0.1209 | BatchCostMax= 0.7793 | BatchCostNZ= 0.4180 | Beta= 5.1014
[train] t= 50000 | LossPi=-485.6066 | PiEntropy=-0.8123 | Alpha= 0.9156 | PiEntTerm= 0.7437 | MinQ= 544.9606 | PiCostTerm= 58.6103 | QcPiCVaR= 11.2697 | QcPi= 8.4618 | QcPiRaw= 8.4615 | QcPiVar= 12.3979 | QcPiM2= 84.8298| BatchCostMean= 0.1345 | BatchCostMax= 0.7771 | BatchCostNZ= 0.4531 | Beta= 5.2007
[train] t= 51000 | LossPi=-489.4927 | PiEntropy=-1.0689 | Alpha= 0.8330 | PiEntTerm= 0.8904 | MinQ= 551.4324 | PiCostTerm= 61.0493 | QcPiCVaR= 11.5184 | QcPi= 8.7362 | QcPiRaw= 8.7360 | QcPiVar= 12.1747 | QcPiM2= 89.2180| BatchCostMean= 0.1365 | BatchCostMax= 0.7633 | BatchCostNZ= 0.4688 | Beta= 5.3002
[train] t= 52000 | LossPi=-481.1385 | PiEntropy=-0.8848 | Alpha= 0.8142 | PiEntTerm= 0.7204 | MinQ= 543.4673 | PiCostTerm= 61.6084 | QcPiCVaR= 11.4094 | QcPi= 8.6221 | QcPiRaw= 8.6218 | QcPiVar= 12.2196 | QcPiM2= 87.4018| BatchCostMean= 0.1359 | BatchCostMax= 0.6874 | BatchCostNZ= 0.4531 | Beta= 5.3998
[train] t= 53000 | LossPi=-492.9910 | PiEntropy=-1.0897 | Alpha= 0.8162 | PiEntTerm= 0.8894 | MinQ= 557.4122 | PiCostTerm= 63.5318 | QcPiCVaR= 11.5525 | QcPi= 8.7590 | QcPiRaw= 8.7588 | QcPiVar= 12.2708 | QcPiM2= 89.6511| BatchCostMean= 0.1354 | BatchCostMax= 0.9524 | BatchCostNZ= 0.4414 | Beta= 5.4994
[train] t= 54000 | LossPi=-490.9698 | PiEntropy=-0.9834 | Alpha= 0.7797 | PiEntTerm= 0.7667 | MinQ= 555.4312 | PiCostTerm= 63.6947 | QcPiCVaR= 11.3758 | QcPi= 8.5876 | QcPiRaw= 8.5874 | QcPiVar= 12.2231 | QcPiM2= 86.5630| BatchCostMean= 0.0979 | BatchCostMax= 0.7024 | BatchCostNZ= 0.3828 | Beta= 5.5991
[train] t= 55000 | LossPi=-492.5211 | PiEntropy=-1.0781 | Alpha= 0.8050 | PiEntTerm= 0.8678 | MinQ= 558.7260 | PiCostTerm= 65.3371 | QcPiCVaR= 11.4651 | QcPi= 8.7060 | QcPiRaw= 8.7058 | QcPiVar= 11.9692 | QcPiM2= 88.4413| BatchCostMean= 0.1413 | BatchCostMax= 0.7520 | BatchCostNZ= 0.4609 | Beta= 5.6988
[train] t= 56000 | LossPi=-489.4327 | PiEntropy=-1.0217 | Alpha= 0.8210 | PiEntTerm= 0.8388 | MinQ= 556.5129 | PiCostTerm= 66.2414 | QcPiCVaR= 11.4245 | QcPi= 8.6470 | QcPiRaw= 8.6468 | QcPiVar= 12.1319 | QcPiM2= 87.5700| BatchCostMean= 0.1213 | BatchCostMax= 0.9318 | BatchCostNZ= 0.4219 | Beta= 5.7982
[train] t= 57000 | LossPi=-487.2439 | PiEntropy=-1.0713 | Alpha= 0.8404 | PiEntTerm= 0.9003 | MinQ= 555.4399 | PiCostTerm= 67.2957 | QcPiCVaR= 11.4111 | QcPi= 8.7120 | QcPiRaw= 8.7117 | QcPiVar= 11.4545 | QcPiM2= 88.0550| BatchCostMean= 0.1529 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4844 | Beta= 5.8974
